project_name,num_features,reduction_percentage,feature_names
GaussianNB_17_features_reduced_by_60_percent1,17,60,"month, housing, previous, loan, y, marital, cons.conf.idx, job, pdays, poutcome, contact, day_of_week, age, emp.var.rate, nr.employed, education, default"
GaussianNB_17_features_reduced_by_80_percent1,17,80,"month, housing, previous, loan, y, marital, cons.conf.idx, job, pdays, poutcome, contact, day_of_week, age, emp.var.rate, nr.employed, education, default"
GaussianNB_16_features_reduced_by_0_percent1,16,0,"emp.var.rate, y, previous, education, month, euribor3m, nr.employed, age, pdays, contact, poutcome, cons.price.idx, job, day_of_week, housing, cons.conf.idx"
GaussianNB_16_features_reduced_by_20_percent1,16,20,"emp.var.rate, y, previous, education, month, euribor3m, nr.employed, age, pdays, contact, poutcome, cons.price.idx, job, day_of_week, housing, cons.conf.idx"
GaussianNB_16_features_reduced_by_40_percent1,16,40,"emp.var.rate, y, previous, education, month, euribor3m, nr.employed, age, pdays, contact, poutcome, cons.price.idx, job, day_of_week, housing, cons.conf.idx"
GaussianNB_16_features_reduced_by_60_percent1,16,60,"emp.var.rate, y, previous, education, month, euribor3m, nr.employed, age, pdays, contact, poutcome, cons.price.idx, job, day_of_week, housing, cons.conf.idx"
GaussianNB_16_features_reduced_by_80_percent1,16,80,"emp.var.rate, y, previous, education, month, euribor3m, nr.employed, age, pdays, contact, poutcome, cons.price.idx, job, day_of_week, housing, cons.conf.idx"
GaussianNB_15_features_reduced_by_0_percent1,15,0,"euribor3m, default, previous, contact, cons.conf.idx, day_of_week, loan, pdays, poutcome, age, housing, month, job, emp.var.rate, marital"
GaussianNB_15_features_reduced_by_20_percent1,15,20,"euribor3m, default, previous, contact, cons.conf.idx, day_of_week, loan, pdays, poutcome, age, housing, month, job, emp.var.rate, marital"
GaussianNB_15_features_reduced_by_40_percent1,15,40,"euribor3m, default, previous, contact, cons.conf.idx, day_of_week, loan, pdays, poutcome, age, housing, month, job, emp.var.rate, marital"
GaussianNB_15_features_reduced_by_60_percent1,15,60,"euribor3m, default, previous, contact, cons.conf.idx, day_of_week, loan, pdays, poutcome, age, housing, month, job, emp.var.rate, marital"
GaussianNB_15_features_reduced_by_80_percent1,15,80,"euribor3m, default, previous, contact, cons.conf.idx, day_of_week, loan, pdays, poutcome, age, housing, month, job, emp.var.rate, marital"
