energy_consumed,num_num_features,num_cat_features,number_of_instances,model
1.867497920225484e-06,2,7,63999.999999999985,3.0
3.265034536482543e-06,0,8,320000.0,3.0
2.8462488876540542e-06,0,8,256000.0,3.0
2.1915032187675047e-06,0,8,192000.0,3.0
1.5688271236601598e-06,0,8,128000.0,3.0
2.026933763566932e-06,0,8,63999.999999999985,3.0
4.971581282773564e-06,0,7,320000.0,3.0
2.8689811897973217e-06,0,7,256000.0,3.0
2.206391675372288e-06,0,7,192000.0,3.0
1.675790413364414e-06,0,7,128000.0,3.0
7.643365905497352e-07,0,7,63999.999999999985,3.0
6.036364838569044e-06,0,6,320000.0,3.0
4.353205232318816e-06,0,6,256000.0,3.0
1.93735459959612e-06,0,6,192000.0,3.0
1.2657075354629418e-06,0,6,128000.0,3.0
8.246110417663508e-07,0,6,63999.999999999985,3.0
2.6727881348818985e-06,2,3,320000.0,3.0
2.875032431469057e-06,2,3,256000.0,3.0
3.363583883874337e-06,2,3,192000.0,3.0
1.022451718156958e-06,2,3,128000.0,3.0
5.929217711367427e-07,2,3,63999.999999999985,3.0
2.675707341881169e-06,2,2,320000.0,3.0
1.8131305329404768e-06,2,2,256000.0,3.0
1.3819353144577286e-06,2,2,192000.0,3.0
2.1091388863030465e-06,2,2,128000.0,3.0
1.1248779120885882e-06,2,2,63999.999999999985,3.0
2.409326842744501e-06,0,3,320000.0,3.0
2.1597566693309827e-06,0,3,256000.0,3.0
1.522745521407387e-06,0,3,192000.0,3.0
9.872202657274126e-07,0,3,128000.0,3.0
